----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
10  0.00000000000000e+00  2.69879391029085e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07701073053141e+51  0.00000000000000e+00  2.07701073053141e+51  -2.54641082246948e+51  -2.04614403428514e+52  0.00000000000000e+00  1.60972552777564e+31  1.60972552777564e+31  1.60972552777564e+31  1.60972552777564e+31  1.48695817513869e+31  2.21639185033907e+32  1.38754407774062e+33  2.09954797958131e+33  2.48755796328583e+33  2.55607926062120e+33  2.59211082295092e+33  2.63021235263131e+33  2.65297699887554e+33  2.68241562631144e+33  2.69505883168574e+33  1.31835223603778e+09  1.28375172011961e+09  -4.69400091938070e+50  
10  4.00059777634699e+00  2.69806652448155e+33  1.92077775393955e+42  2.26689290549758e+38  0.00000000000000e+00  1.38824679502681e+51  1.27955707748799e+51  1.08689717538819e+50  -1.12744713509913e+50  -2.22209876309216e+52  8.16199739675291e+48  2.67040602126437e+33  2.42701979740568e+33  1.94805379912596e+33  7.88001400495354e+32  1.66501909491460e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  1.09192416701282e+05  1.36916297387657e+04  1.27550208151690e+51  
----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
11  0.00000000000000e+00  2.69867878203434e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07699671753418e+51  0.00000000000000e+00  2.07699671753418e+51  -2.54610463788493e+51  -2.04607673803463e+52  0.00000000000000e+00  1.66329944904851e+31  1.66329944904851e+31  1.66329944904851e+31  1.66329944904851e+31  1.53644622688190e+31  2.21524056777401e+32  1.38742894948412e+33  2.09943285132481e+33  2.48744283502932e+33  2.55596413236469e+33  2.59199569469441e+33  2.63009722437480e+33  2.65286187061904e+33  2.68230049805494e+33  2.69494370342924e+33  1.38824379310914e+09  1.23633722107601e+09  -4.69107920350749e+50  
11  4.00057336675810e+00  2.69730945276365e+33  1.98373030792387e+42  -1.41306101546909e+39  0.00000000000000e+00  1.49911873080964e+51  1.43595626148273e+51  6.31624693269105e+49  -9.13417412275802e+49  -2.23439301661404e+52  8.26690111092526e+48  2.68973342547811e+33  2.56918295082299e+33  2.36085981869756e+33  5.68880920955270e+32  2.04567905247739e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  5.40891000613124e+04  1.42139042582648e+03  1.40777698958205e+51  
----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
14  0.00000000000000e+00  2.69865415311005e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07699389015268e+51  0.00000000000000e+00  2.07699389015268e+51  -2.54603937678873e+51  -2.04606233400874e+52  0.00000000000000e+00  1.67472429074199e+31  1.67472429074199e+31  1.67472429074199e+31  1.67472429074199e+31  1.54699974141755e+31  2.21499427853113e+32  1.38740432055983e+33  2.09940822240052e+33  2.48741820610504e+33  2.55593950344041e+33  2.59197106577013e+33  2.63007259545051e+33  2.65283724169475e+33  2.68227586913065e+33  2.69491907450495e+33  1.36428465522899e+09  1.24359373090836e+09  -4.69045486636046e+50  
14  4.00020926993605e+00  2.69761525775598e+33  1.98027330375425e+42  7.16543828014097e+38  0.00000000000000e+00  1.46822752451688e+51  1.39469366142196e+51  7.35338630949248e+49  -9.56409910420277e+49  -2.23111926829303e+52  7.57302538581072e+48  2.68329787838131e+33  2.53392886505514e+33  2.25310314903733e+33  7.36543283816060e+32  1.95808800104990e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  5.46588929562171e+04  3.33497177706550e+03  1.37258653347485e+51  
----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
15  0.00000000000000e+00  2.69868113642175e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07699707886836e+51  0.00000000000000e+00  2.07699707886836e+51  -2.54611095853537e+51  -2.04607811890254e+52  0.00000000000000e+00  1.66220825924585e+31  1.66220825924585e+31  1.66220825924585e+31  1.66220825924585e+31  1.53543825777805e+31  2.21526411164810e+32  1.38743130387153e+33  2.09943520571222e+33  2.48744518941673e+33  2.55596648675210e+33  2.59199804908182e+33  2.63009957876221e+33  2.65286422500645e+33  2.68230285244235e+33  2.69494605781665e+33  1.39454324590595e+09  1.21463683610645e+09  -4.69113879667009e+50  
15  4.00053487338337e+00  2.69730332205885e+33  2.02419097971556e+42  3.48881916034919e+39  0.00000000000000e+00  1.52265183431210e+51  1.47103616465189e+51  5.16156696602149e+49  -8.78518487414971e+49  -2.23722771666778e+52  8.01762138608982e+48  2.68998181753710e+33  2.60687675637264e+33  2.44081933790507e+33  5.65419873317546e+32  2.12384894447062e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  5.11689245004969e+04  2.49278998332714e+02  1.43479998557060e+51  
----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
16  0.00000000000000e+00  2.69866778243785e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07699546681492e+51  0.00000000000000e+00  2.07699546681492e+51  -2.54607548252889e+51  -2.04607030420612e+52  0.00000000000000e+00  1.66840255101743e+31  1.66840255101743e+31  1.66840255101743e+31  1.66840255101743e+31  1.54116013559511e+31  2.21513057180908e+32  1.38741794988762e+33  2.09942185172832e+33  2.48743183543283e+33  2.55595313276820e+33  2.59198469509792e+33  2.63008622477831e+33  2.65285087102254e+33  2.68228949845844e+33  2.69493270383274e+33  1.37511969301206e+09  1.24708038926576e+09  -4.69080015713971e+50  
